subject,session,recs
LTP229,5,52
LTP229,6,180
LTP229,7,224
LTP229,8,293
LTP229,9,330
LTP246,5,20
LTP246,6,32
LTP246,7,56
LTP246,8,126
LTP246,9,161
LTP260,5,44
LTP260,6,87
LTP260,8,142
LTP260,9,168
LTP312,5,49
LTP312,7,123
LTP312,8,140
LTP327,5,6
LTP327,6,5
LTP327,7,21
LTP327,8,63
LTP327,9,119
LTP329,6,40
LTP329,7,45
LTP329,8,51
LTP329,9,56
LTP339,5,45
LTP339,6,78
LTP339,7,119
LTP339,8,133
LTP339,9,124
LTP347,5,46
LTP347,6,59
LTP347,7,26
LTP347,8,15
LTP347,9,14
LTP355,5,17
LTP355,6,24
LTP355,7,63
LTP355,8,72
LTP355,9,100
LTP356,5,82
LTP356,6,82
LTP356,7,91
LTP356,8,70
LTP356,9,75
LTP365,5,73
LTP365,6,134
LTP365,7,167
LTP365,8,229
LTP365,9,296
LTP372,5,10
LTP372,6,21
LTP372,7,109
LTP372,8,68
LTP372,9,97
LTP400,5,76
LTP400,6,170
LTP400,7,224
LTP400,8,247
LTP400,9,268
LTP401,5,23
LTP401,6,55
LTP401,7,65
LTP401,8,127
LTP401,9,185
LTP402,5,18
LTP402,6,33
LTP402,7,36
LTP402,8,46
LTP402,9,44
LTP404,5,30
LTP404,6,39
LTP404,7,37
LTP404,8,35
LTP404,9,20
LTP405,5,38
LTP405,6,23
LTP405,7,38
LTP405,8,45
LTP405,9,32
LTP406,5,24
LTP406,6,30
LTP406,7,33
LTP406,8,44
LTP406,9,41
LTP407,5,63
LTP407,6,75
LTP407,7,101
LTP407,8,73
LTP407,9,77
LTP408,5,54
LTP408,6,71
LTP408,7,134
LTP408,8,193
LTP408,9,219
LTP412,5,4
LTP412,6,10
LTP412,7,10
LTP412,8,19
LTP412,9,13
LTP414,5,16
LTP414,6,42
LTP414,7,63
LTP414,8,64
LTP414,9,69
LTP415,5,36
LTP415,6,64
LTP415,7,94
LTP415,8,107
LTP415,9,113
LTP416,5,23
LTP416,6,61
LTP416,7,117
LTP416,8,189
LTP416,9,217
LTP417,5,48
LTP417,6,79
LTP417,7,105
LTP417,8,122
LTP417,9,156
LTP418,5,37
LTP418,6,66
LTP418,7,68
LTP418,8,62
LTP418,9,80
LTP419,5,24
LTP419,6,14
LTP419,7,14
LTP419,8,19
LTP419,9,22
LTP420,6,65
LTP420,7,59
LTP420,8,63
LTP420,9,58
LTP421,5,64
LTP421,6,79
LTP421,7,134
LTP421,8,147
LTP421,9,182
LTP422,5,95
LTP422,6,143
LTP422,7,269
LTP422,8,274
LTP423,5,19
LTP423,6,46
LTP423,7,51
LTP423,8,92
LTP423,9,92
LTP424,5,47
LTP424,6,63
LTP424,7,79
LTP424,8,106
LTP424,9,135
LTP425,5,35
LTP425,6,89
LTP425,7,148
LTP425,8,171
LTP425,9,261
LTP427,5,30
LTP427,6,41
LTP427,7,45
LTP427,8,60
LTP427,9,73
LTP429,5,56
LTP429,6,75
LTP429,7,72
LTP429,8,68
LTP429,9,99
LTP430,5,67
LTP430,6,100
LTP430,7,159
LTP430,8,199
LTP430,9,215
LTP431,5,19
LTP431,6,58
LTP431,7,100
LTP431,8,147
LTP431,9,184
LTP433,5,96
LTP433,6,116
LTP433,7,109
LTP435,5,27
LTP435,6,61
LTP435,7,55
LTP436,5,42
LTP436,6,101
LTP436,7,162
LTP436,8,149
